target,guide,donor,context,n_cells,guide_median_supplied_activation_score,ntc_baseline_median_of_guide_medians,supplied_activation_score_delta,support_flag_lt_20_cells,generator_available,generator_admitted
STAT5B,STAT5B_2_CRISPRi,A,Stimulated-Teff,184,549.11142606133808,612.7313540812479,-63.619928019909821,false,true,true
TAF5L,TAF5L_1_CRISPRi,A,Stimulated-Teff,159,625.149160712455,612.7313540812479,12.4178066312071,false,true,true
TAF5L,TAF5L_2_CRISPRi,A,Stimulated-Teff,236,613.02277174308915,612.7313540812479,0.29141766184125117,false,true,true
USP22,USP22_1_CRISPRi,A,Stimulated-Teff,212,639.02629057006243,612.7313540812479,26.294936488814528,false,true,true
USP22,USP22_2_CRISPRi,A,Stimulated-Teff,207,611.84342465624502,612.7313540812479,-0.88792942500288063,false,true,true
ZNF217,ZNF217_1_CRISPRi,A,Stimulated-Teff,257,571.69956505494008,612.7313540812479,-41.03178902630782,false,false,false
ZNF217,ZNF217_2_CRISPRi,A,Stimulated-Teff,278,642.62699070534302,612.7313540812479,29.895636624095118,false,false,false
ATXN7L3,ATXN7L3_1_CRISPRi,B,Stimulated-Teff,193,609.45683168326605,613.23523218903188,-3.7784005057658305,false,true,true
ATXN7L3,ATXN7L3_2_CRISPRi,B,Stimulated-Teff,288,627.43462498066583,613.23523218903188,14.199392791633954,false,true,true
BACH2,BACH2_1_CRISPRi,B,Stimulated-Teff,298,635.26971725487579,613.23523218903188,22.03448506584391,false,true,false
BACH2,BACH2_2_CRISPRi,B,Stimulated-Teff,188,627.95136429568038,613.23523218903188,14.716132106648502,false,true,false
BATF,BATF_1_CRISPRi,B,Stimulated-Teff,251,563.7152787975001,613.23523218903188,-49.519953391531772,false,true,true
BATF,BATF_2_CRISPRi,B,Stimulated-Teff,254,579.64716273534771,613.23523218903188,-33.58806945368417,false,true,true
BPTF,BPTF_1_CRISPRi,B,Stimulated-Teff,196,594.58037666854602,613.23523218903188,-18.654855520485853,false,true,true
BPTF,BPTF_2_CRISPRi,B,Stimulated-Teff,253,599.61448750054251,613.23523218903188,-13.620744688489367,false,true,true
CBFB,CBFB_1_CRISPRi,B,Stimulated-Teff,296,630.68962079853281,613.23523218903188,17.454388609500938,false,true,true
CBFB,CBFB_2_CRISPRi,B,Stimulated-Teff,237,669.00086942582107,613.23523218903188,55.765637236789189,false,true,true
DNMT1,DNMT1_1_CRISPRi,B,Stimulated-Teff,189,619.9739153006301,613.23523218903188,6.7386831115982204,false,false,false
DNMT1,DNMT1_2_CRISPRi,B,Stimulated-Teff,162,590.87870210668621,613.23523218903188,-22.356530082345671,false,false,false
ETS1,ETS1_1_CRISPRi,B,Stimulated-Teff,186,645.0456102144077,613.23523218903188,31.810378025375826,false,true,false
ETS1,ETS1_2_CRISPRi,B,Stimulated-Teff,111,630.53044714875773,613.23523218903188,17.295214959725854,false,true,false
FOXO1,FOXO1_1_CRISPRi,B,Stimulated-Teff,126,600.59010716760417,613.23523218903188,-12.645125021427702,false,true,true
FOXO1,FOXO1_2_CRISPRi,B,Stimulated-Teff,207,591.00758978841577,613.23523218903188,-22.227642400616105,false,true,true
IL2RA,IL2RA_1_CRISPRi,B,Stimulated-Teff,163,497.63590953547509,613.23523218903188,-115.59932265355678,false,true,true
IL2RA,IL2RA_2_CRISPRi,B,Stimulated-Teff,197,535.66669543939747,613.23523218903188,-77.568536749634404,false,true,true
IRF1,IRF1_1_CRISPRi,B,Stimulated-Teff,214,588.99652257528601,613.23523218903188,-24.238709613745868,false,true,true
IRF1,IRF1_2_CRISPRi,B,Stimulated-Teff,205,652.57228570482255,613.23523218903188,39.337053515790672,false,true,true
IRF2,IRF2_1_CRISPRi,B,Stimulated-Teff,184,626.40250650978498,613.23523218903188,13.167274320753108,false,true,true
IRF2,IRF2_2_CRISPRi,B,Stimulated-Teff,207,615.15729053931102,613.23523218903188,1.9220583502791442,false,true,true
IRF4,IRF4_1_CRISPRi,B,Stimulated-Teff,146,583.03369208048161,613.23523218903188,-30.201540108550262,false,true,false
IRF4,IRF4_2_CRISPRi,B,Stimulated-Teff,135,549.04404553519612,613.23523218903188,-64.191186653835757,false,true,false
KLF13,KLF13_1_CRISPRi,B,Stimulated-Teff,223,634.9840467809355,613.23523218903188,21.748814591903624,false,true,false
KLF13,KLF13_2_CRISPRi,B,Stimulated-Teff,234,608.91400968000835,613.23523218903188,-4.3212225090235279,false,true,false
KLF2,KLF2_1_CRISPRi,B,Stimulated-Teff,199,633.23851984319367,613.23523218903188,20.003287654161795,false,true,true
KLF2,KLF2_2_CRISPRi,B,Stimulated-Teff,193,643.72752515623085,613.23523218903188,30.492292967198978,false,true,true
LEF1,LEF1_1_CRISPRi,B,Stimulated-Teff,255,635.33932271592369,613.23523218903188,22.10409052689181,false,true,false
LEF1,LEF1_2_CRISPRi,B,Stimulated-Teff,221,609.28468561427621,613.23523218903188,-3.9505465747556627,false,true,false
MED11,MED11_1_CRISPRi,B,Stimulated-Teff,60,526.76466777807036,613.23523218903188,-86.470564410961515,false,false,false
MED11,MED11_2_CRISPRi,B,Stimulated-Teff,163,577.91645682244859,613.23523218903188,-35.318775366583282,false,false,false
MED12,MED12_1_CRISPRi,B,Stimulated-Teff,356,521.78208467097375,613.23523218903188,-91.453147518058131,false,true,true
MED12,MED12_2_CRISPRi,B,Stimulated-Teff,330,550.65834472641495,613.23523218903188,-62.576887462616924,false,true,true
MED24,MED24_1_CRISPRi,B,Stimulated-Teff,324,666.15646324956072,613.23523218903188,52.921231060528839,false,true,true
MED24,MED24_2_CRISPRi,B,Stimulated-Teff,252,667.27297111326845,613.23523218903188,54.037738924236578,false,true,true
MEF2D,MEF2D_1_CRISPRi,B,Stimulated-Teff,252,650.05930613259898,613.23523218903188,36.8240739435671,false,true,true
MEF2D,MEF2D_2_CRISPRi,B,Stimulated-Teff,256,647.46689118493214,613.23523218903188,34.231658995900261,false,true,true
MYB,MYB_1_CRISPRi,B,Stimulated-Teff,167,614.38289518572924,613.23523218903188,1.1476629966973633,false,true,true
MYB,MYB_2_CRISPRi,B,Stimulated-Teff,214,603.89925064564284,613.23523218903188,-9.335981543389039,false,true,true
MYC,MYC_1_CRISPRi,B,Stimulated-Teff,234,529.49343928408348,613.23523218903188,-83.741792904948397,false,true,true
MYC,MYC_2_CRISPRi,B,Stimulated-Teff,148,492.25685005964931,613.23523218903188,-120.97838212938257,false,true,true
NFKB2,NFKB2_1_CRISPRi,B,Stimulated-Teff,340,610.11568317303681,613.23523218903188,-3.1195490159950623,false,true,true
NFKB2,NFKB2_2_CRISPRi,B,Stimulated-Teff,284,596.26803290036037,613.23523218903188,-16.967199288671509,false,true,true
PRDM1,PRDM1_1_CRISPRi,B,Stimulated-Teff,256,615.14407541176911,613.23523218903188,1.9088432227372323,false,false,false
PRDM1,PRDM1_2_CRISPRi,B,Stimulated-Teff,257,622.95497933301806,613.23523218903188,9.7197471439861829,false,false,false
SOCS3,SOCS3_1_CRISPRi,B,Stimulated-Teff,41,540.10959183926843,613.23523218903188,-73.125640349763444,false,true,true
SOCS3,SOCS3_2_CRISPRi,B,Stimulated-Teff,118,640.56663640565057,613.23523218903188,27.331404216618694,false,true,true
STAT5B,STAT5B_1_CRISPRi,B,Stimulated-Teff,161,429.55144953565849,613.23523218903188,-183.68378265337338,false,true,true
STAT5B,STAT5B_2_CRISPRi,B,Stimulated-Teff,214,549.7588088119453,613.23523218903188,-63.476423377086576,false,true,true
