double,geneA,geneB,residual,residual_bias_corrected,CI_low,CI_high,pctile_CI_low,pctile_CI_high,se_boot,noise_floor,noise_floor_sd,floor_ratio,z,p,bar_a_significant,bar_b_floor_ratio_ge_1p9,effect_norm,nonadditivity
PTPN12+PTPN9,PTPN12,PTPN9,0.2479860549865406,0.21004794815052708,0.19986790668945909,0.21977192211843943,0.2762001878546418,0.29610420328362214,0.0051332149412642684,0.14969893769651624,0.006491522588674761,1.6565652288680983,15.14084191303563,0.000999000999000999,True,False,5.476464353900947,0.4025879985218703
UBASH3B+PTPN9,UBASH3B,PTPN9,0.24183524229099423,0.2030330020400305,0.1920507145362545,0.21327732705730168,0.2703931575246868,0.291619770045734,0.005498461964826116,0.14959715074045613,0.006097278301400846,1.616576526317448,15.127748315071408,0.000999000999000999,True,False,5.411448462012573,0.3740256470951733
ZBTB10+DLX2,ZBTB10,DLX2,0.4285384673814909,0.3809389145496372,0.3590919350854146,0.4028186130437734,0.4542583217192083,0.49798499967756715,0.011458452595906141,0.25066985036137746,0.011779943371551421,1.709573236524814,15.099276066951761,0.000999000999000999,True,False,9.873616998937692,0.5037486293641512
ZBTB10+ELMSAN1,ZBTB10,ELMSAN1,0.32028895300517357,0.27176772932838533,0.2592578830401801,0.2843792015800557,0.35619870443029145,0.38132002297016704,0.006556842766572705,0.20204400974018658,0.007836018241314009,1.5852434992605875,15.089927004197312,0.000999000999000999,True,False,6.677898188680104,0.4147887829792299
FOXA1+HOXB9,FOXA1,HOXB9,0.3062193662598537,0.2635846554351173,0.24786720363154247,0.2774069121637639,0.3350318203559435,0.3645715288881649,0.007312601479710528,0.1829463976474887,0.008193874002204633,1.6738201473083618,15.044528214517007,0.000999000999000999,True,False,6.049280635365633,0.4236795350011005
MAP2K3+IKZF3,MAP2K3,IKZF3,0.2897101837926605,0.2552191511261426,0.23829063795036842,0.2708249967855765,0.30859537079974453,0.3411297296349526,0.008428252186334724,0.15766703899738269,0.008782495000389154,1.8374809702455932,15.034810129630245,0.000999000999000999,True,False,6.936841555022399,0.3688795789634747
FOXA3+FOXA1,FOXA3,FOXA1,0.3240790370116927,0.27800637074943657,0.2636350770245691,0.2910128770473051,0.3571451969760803,0.3845229969988163,0.006984777872322947,0.1980776079173864,0.008549544697201854,1.6361215203429689,14.737794064699703,0.000999000999000999,True,False,5.753008101263464,0.3776959521350504
PRDM1+CBFA2T3,PRDM1,CBFA2T3,0.35724876567597214,0.3085845382140665,0.2931835516879663,0.3216453667814376,0.39285216457050665,0.421313979663978,0.007176641774212646,0.2174120424558296,0.009555649398378515,1.6431875697435316,14.633931969487206,0.000999000999000999,True,False,8.182667441273255,0.4854830070006177
ZC3HAV1+CEBPE,ZC3HAV1,CEBPE,0.41385118259824494,0.3646410201841106,0.343312546264477,0.38366658906676643,0.44403577612972345,0.4843898189320129,0.010522201515001425,0.24818681898667552,0.01132697789012792,1.6674986378727208,14.625645535686528,0.000999000999000999,True,False,3.009795611409785,1.7127174516167063
FOXF1+FOXL2,FOXF1,FOXL2,0.31038614237358897,0.262749491593909,0.24886944525181415,0.2758161146683679,0.34495617007881,0.3719028394953638,0.007051656276046219,0.1956678289954636,0.007886582193179382,1.5862911341485015,14.546011259140641,0.000999000999000999,True,False,6.586430719460706,0.5012392501945969
FOXA3+FOXL2,FOXA3,FOXL2,0.3669747077101361,0.31602098011311097,0.3011717425341209,0.3305244715116625,0.4034249439086098,0.4327776728861514,0.007352504181023966,0.22799506867740024,0.009829835718362155,1.6095730045345147,14.138551550065237,0.000999000999000999,True,False,7.673940740670747,0.4899192684109963
CBL+PTPN12,CBL,PTPN12,0.2502356116960853,0.2119878665421817,0.19529544103799845,0.2268725482310588,0.27359867516111186,0.3051757823541722,0.007978443545808093,0.15181411410160914,0.007066155025180868,1.6483026836925236,13.928578872631931,0.000999000999000999,True,False,6.125265756544194,0.3638029910495188
POU3F2+CBFA2T3,POU3F2,CBFA2T3,0.370192155449265,0.31802080695672047,0.30163107883996326,0.3319132129464684,0.40847109795206155,0.4387532320585667,0.007601519842854977,0.23127003319219427,0.010064796324557056,1.6006922744790766,13.80277531479849,0.000999000999000999,True,False,4.8155025879806415,0.4907058115249235
