screen,double,cos_ab,triage_score,triage_rank,unreachable_fraction,double_effect_norm,emergence_z,p_value,floor_ratio,ci_low,ci_high,geometry_status,bar_a_p_lt_0p05,bar_b_floor_ge_1p9,certified_emergent
CaRPool_GSE213957_THP1_Cas13d-KD,GSE1+RCOR1,0.26,-0.26,70,0.6466,5.5978,18.558,0.004975124378109453,1.569,0.6808,0.705,outside_model_cone,True,False,False
CaRPool_GSE213957_THP1_Cas13d-KD,MYB+VPRBP,0.2613,-0.2613,71,0.5814,10.7117,10.675,0.004975124378109453,1.318,0.6431,0.6686,outside_model_cone,True,False,False
CaRPool_GSE213957_THP1_Cas13d-KD,GSE1+MYB,0.2623,-0.2623,72,0.5809,11.6969,23.779,0.004975124378109453,1.669,0.6159,0.637,outside_model_cone,True,False,False
CaRPool_GSE213957_THP1_Cas13d-KD,GSE1+HDAC3,0.2663,-0.2663,73,0.6032,7.8391,58.739,0.004975124378109453,2.58,0.615,0.6285,outside_model_cone,True,True,True
CaRPool_GSE213957_THP1_Cas13d-KD,DOT1L+GFI1,0.2694,-0.2694,74,0.6029,7.7869,50.59,0.004975124378109453,2.393,0.6164,0.6325,outside_model_cone,True,True,True
CaRPool_GSE213957_THP1_Cas13d-KD,SMARCD1+VPRBP,0.2716,-0.2716,75,0.6711,6.7498,37.825,0.004975124378109453,2.026,0.6894,0.7045,outside_model_cone,True,True,True
CaRPool_GSE213957_THP1_Cas13d-KD,HDAC3+KDM1A,0.2734,-0.2734,76,0.5385,10.2582,48.704,0.004975124378109453,2.4,0.5558,0.5687,outside_model_cone,True,True,True
CaRPool_GSE213957_THP1_Cas13d-KD,HDAC3+SSRP1,0.2737,-0.2737,77,0.6797,5.9446,14.616,0.004975124378109453,1.362,0.7245,0.7493,outside_model_cone,True,False,False
CaRPool_GSE213957_THP1_Cas13d-KD,DOT1L+MYB,0.275,-0.275,78,0.5393,10.4321,20.138,0.004975124378109453,1.598,0.5747,0.6111,outside_model_cone,True,False,False
CaRPool_GSE213957_THP1_Cas13d-KD,DOT1L+GATA2,0.2787,-0.2787,79,0.7847,4.1814,17.074,0.004975124378109453,1.403,0.8105,0.829,outside_model_cone,True,False,False
CaRPool_GSE213957_THP1_Cas13d-KD,GATA2+MYB,0.279,-0.279,80,0.5875,10.4269,23.07,0.004975124378109453,1.575,0.6273,0.6508,outside_model_cone,True,False,False
CaRPool_GSE213957_THP1_Cas13d-KD,KDM1A+SMARCD1,0.2849,-0.2849,81,0.524,8.3602,49.586,0.004975124378109453,2.349,0.5428,0.5555,outside_model_cone,True,True,True
CaRPool_GSE213957_THP1_Cas13d-KD,MYB+RCOR1,0.2853,-0.2853,82,0.5462,11.963,19.103,0.004975124378109453,1.538,0.5892,0.6129,outside_model_cone,True,False,False
CaRPool_GSE213957_THP1_Cas13d-KD,MED24+RCOR1,0.2877,-0.2877,83,0.4402,8.8614,26.04,0.004975124378109453,1.871,0.4691,0.4884,outside_model_cone,True,False,False
CaRPool_GSE213957_THP1_Cas13d-KD,GFI1+MYB,0.2881,-0.2881,84,0.5684,11.5376,20.038,0.004975124378109453,1.558,0.611,0.6341,outside_model_cone,True,False,False
CaRPool_GSE213957_THP1_Cas13d-KD,GFI1+RCOR1,0.2908,-0.2908,85,0.6062,7.8437,26.323,0.004975124378109453,1.771,0.6369,0.6535,outside_model_cone,True,False,False
CaRPool_GSE213957_THP1_Cas13d-KD,KDM1A+RCOR1,0.2929,-0.2929,86,0.4968,9.3174,16.359,0.004975124378109453,1.48,0.5428,0.5747,outside_model_cone,True,False,False
CaRPool_GSE213957_THP1_Cas13d-KD,GSE1+MED24,0.2938,-0.2938,87,0.4018,9.7442,46.356,0.004975124378109453,2.447,0.4085,0.4402,outside_model_cone,True,True,True
CaRPool_GSE213957_THP1_Cas13d-KD,EP300+RCOR1,0.296,-0.296,88,0.5305,8.9178,36.914,0.004975124378109453,2.07,0.5525,0.5738,outside_model_cone,True,True,True
CaRPool_GSE213957_THP1_Cas13d-KD,SSRP1+VPRBP,0.2981,-0.2981,89,0.7253,5.55,18.849,0.004975124378109453,1.442,0.7529,0.7838,outside_model_cone,True,False,False
CaRPool_GSE213957_THP1_Cas13d-KD,RCOR1+SSRP1,0.3028,-0.3028,90,0.6781,5.7271,7.099,0.004975124378109453,1.161,0.7427,0.7809,outside_model_cone,True,False,False
CaRPool_GSE213957_THP1_Cas13d-KD,IKZF1+SSRP1,0.3039,-0.3039,91,0.7889,6.059,5.956,0.004975124378109453,1.119,0.8376,0.8641,outside_model_cone,True,False,False
CaRPool_GSE213957_THP1_Cas13d-KD,DOT1L+SSRP1,0.3051,-0.3051,92,0.8012,7.059,7.238,0.004975124378109453,1.138,0.8466,0.8685,outside_model_cone,True,False,False
CaRPool_GSE213957_THP1_Cas13d-KD,GATA2+RCOR1,0.3079,-0.3079,93,0.8174,4.3133,20.431,0.004975124378109453,1.491,0.8266,0.859,outside_model_cone,True,False,False
CaRPool_GSE213957_THP1_Cas13d-KD,IKZF1+SMARCD1,0.3116,-0.3116,94,0.7647,5.2619,24.839,0.004975124378109453,1.682,0.7831,0.798,outside_model_cone,True,False,False
CaRPool_GSE213957_THP1_Cas13d-KD,SMARCA5+SMARCD1,0.3147,-0.3147,95,0.7034,5.8653,33.45,0.004975124378109453,1.882,0.717,0.7423,outside_model_cone,True,False,False
CaRPool_GSE213957_THP1_Cas13d-KD,KDM1A+MYB,0.316,-0.316,96,0.5233,12.1635,13.608,0.004975124378109453,1.368,0.5842,0.6073,outside_model_cone,True,False,False
CaRPool_GSE213957_THP1_Cas13d-KD,DOT1L+FLI1,0.3198,-0.3198,97,0.5577,7.4919,36.028,0.004975124378109453,2.108,0.5701,0.6041,outside_model_cone,True,True,True
CaRPool_GSE213957_THP1_Cas13d-KD,EP300+GFI1,0.3212,-0.3212,98,0.5886,8.5849,51.593,0.004975124378109453,2.407,0.5998,0.6196,outside_model_cone,True,True,True
CaRPool_GSE213957_THP1_Cas13d-KD,FLI1+RCOR1,0.3221,-0.3221,99,0.5676,6.4644,40.623,0.004975124378109453,2.162,0.5853,0.6046,outside_model_cone,True,True,True
CaRPool_GSE213957_THP1_Cas13d-KD,GATA2+SSRP1,0.325,-0.325,100,0.8704,4.8031,6.678,0.004975124378109453,1.14,0.8928,0.9171,outside_model_cone,True,False,False
CaRPool_GSE213957_THP1_Cas13d-KD,DOT1L+EP300,0.326,-0.326,101,0.5205,8.1725,49.486,0.004975124378109453,2.36,0.5389,0.5508,outside_model_cone,True,True,True
CaRPool_GSE213957_THP1_Cas13d-KD,GSE1+SSRP1,0.3392,-0.3392,102,0.635,5.8764,12.925,0.004975124378109453,1.326,0.6911,0.7145,outside_model_cone,True,False,False
CaRPool_GSE213957_THP1_Cas13d-KD,FLI1+MYB,0.3423,-0.3423,103,0.5572,13.3511,35.677,0.004975124378109453,1.985,0.5832,0.5989,outside_model_cone,True,True,True
CaRPool_GSE213957_THP1_Cas13d-KD,GATA2+SMARCD1,0.3494,-0.3494,104,0.7217,4.9529,34.616,0.004975124378109453,1.967,0.738,0.7517,outside_model_cone,True,True,True
CaRPool_GSE213957_THP1_Cas13d-KD,GFI1+SSRP1,0.3524,-0.3524,105,0.5693,9.3882,12.974,0.004975124378109453,1.345,0.6283,0.6534,outside_model_cone,True,False,False
